,OPR Job Code,OPR Job Title,OPR Job Rating,OPR Field Code,OPR Field Title,OPR Field Rating,ONET SOC 2018 Code,ONET SOC 2018 Title,ONET SOC 2010 Code,ONET SOC 2010 Title,Census Code 1980,Census Title 1980,GSS Ratings 1989,Census Code 2010,Census Titles 2010,GSS Ratings 2012,Prestige_Score
0,101,Actor,0.7394167450611477,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2011,Actors,27-2011.00,Actors,187.0,Actors and Directors,0.5895770174678793,2700.0,Actors,0.6693711967545637,0.7013175609520739
1,102,Announcer,0.5993818035210322,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3011,Broadcast Announcers and Radio Disc Jockeys,27-3011.00,Radio and Television Announcers,198.0,Announcers,0.5490111159231991,2800.0,Announcers,0.385395537525355,0.5923704712580273
2,102,Announcer,0.5993818035210322,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3099,"Media and Communication Workers, All Other",27-3012.00,Public Address System and Other Announcers,198.0,Announcers,0.5490111159231991,,,0.4552596159314514,0.6063432869392467
3,103,Art Director,0.6495094745329929,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1011,Art Directors,27-1011.00,Art Directors,187.0,Actors and Directors,0.5895770174678793,,,0.4552596159314514,0.6315230636290049
4,104,Athlete and/or Sports Competitor,0.759709716435963,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2021,Athletes and Sports Competitors,27-2021.00,Athletes and Sports Competitors,199.0,Athletes,0.6912083152880034,2720.0,"Athletes, coaches, umpires, and related workers",0.7910750507099391,0.7571540476106244
5,105,Audio and Video Equipment Technician,0.46915737132105895,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-4011,Audio and Video Technicians,27-4011.00,Audio and Video Equipment Technicians,235.0,"Technicians, n.e.c.",0.3474808719503393,2900.0,Broadcast and sound engineering technicians and radio operators,0.4462474645030426,0.515090966000358
6,106,Author,0.7320252654213144,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3043,Writers and Authors,27-3043.00,Writers and Authors,183.0,Authors,0.667965930417208,2850.0,Writers and authors,0.8113590263691681,0.747094911220377
7,107,Broadcast News Analyst,0.6691304932132779,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3023,"News Analysts, Reporters, and Journalists",27-3021.00,Broadcast News Analysts,228.0,Broadcast Equipment Operators,0.3760646744622491,2810.0,"News analysts, reporters and correspondents",0.6085192697768762,0.6146832142507679
8,108,Broadcast Technician,0.5555704878376563,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-4012,Broadcast Technicians,27-4012.00,Broadcast Technicians,228.0,Broadcast Equipment Operators,0.3760646744622491,,,0.4552596159314514,0.5499632818689963
9,109,Camera Operator,0.5807015186130897,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-4031,"Camera Operators, Television, Video, and Film",27-4031.00,"Camera Operators, Television, Video, and Motion Picture",779.0,"Machine Operators, Not Specified",0.2318463981521583,2920.0,"Television, video, and motion picture camera operators and editors",0.5780933062880325,0.5460147600954199
10,110,Choreographer,0.5750571159790351,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2032,Choreographers,27-2032.00,Choreographers,193.0,Dancers,0.5299552475819258,,,0.4552596159314514,0.5942819135913292
11,111,Coach and/or Scout,0.5539578013707835,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2022,Coaches and Scouts,27-2022.00,Coaches and Scouts,175.0,Recreation Workers,0.3072036956835571,,,0.4552596159314514,0.5322642312342616
12,112,Commercial and/or Industrial Designers,0.6845854051874748,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1021,Commercial and Industrial Designers,27-1021.00,Commercial and Industrial Designers,185.0,Designers,0.429478850873394,,,0.4552596159314514,0.6020213011767281
13,113,Copy Writer,0.49670743179680155,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3043,Writers and Authors,27-3043.04,Copy Writers,183.0,Authors,0.667965930417208,,,0.4552596159314514,0.6052796790454796
14,114,Craft Artist,0.4370380325225105,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1012,Craft Artists,27-1012.00,Craft Artists,188.0,"Painters, Sculptors, Craft-Artists, and Artist Printmake…",0.5139309946585824,,,0.4552596159314514,0.548870125323536
15,115,Curator,0.6886171213546566,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,25-4012,Curators,25-4012.00,Curators,165.0,Archivists and Curators,0.509022664934315,,,0.4552596159314514,0.6231167695421129
16,116,Dancer,0.4968418223357076,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2031,Dancers,27-2031.00,Dancers,193.0,Dancers,0.5299552475819258,2740.0,Dancers and choreographers,0.5273833671399595,0.5852420757400326
17,117,"Director - Stage, Motion Pictures, Television and/or Radio",0.8043273753527751,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2012,Producers and Directors,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",187.0,Actors and Directors,0.5895770174678793,,,0.4552596159314514,0.6779684338749395
18,118,Editor,0.6183308695067867,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3041,Editors,27-3041.00,Editors,195.0,Editors and Reporters,0.6203262595640249,2830.0,Editors,0.557809330628803,0.6503667355846497
19,119,Essayist,0.5363526407740895,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,,,,,183.0,Authors,0.667965930417208,,,0.4552596159314514,0.6171732417386661
20,120,Fashion Designer,0.7098508265018142,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1022,Fashion Designers,27-1022.00,Fashion Designers,185.0,Designers,0.429478850873394,,,0.4552596159314514,0.60960092757103
21,121,Film and Video Editor,0.6351296868700443,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-4032,Film and Video Editors,27-4032.00,Film and Video Editors,195.0,Editors and Reporters,0.6203262595640249,,,0.4552596159314514,0.6348964378541567
22,122,Floral Designer,0.3834162074989921,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1023,Floral Designers,27-1023.00,Floral Designers,185.0,Designers,0.429478850873394,,,0.4552596159314514,0.5116705418701833
23,123,Graphic Designer,0.643193119204408,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1024,Graphic Designers,27-1024.00,Graphic Designers,185.0,Designers,0.429478850873394,,,0.4552596159314514,0.5896036153818082
24,124,Illustrator,0.5997849751377504,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,,,,,194.0,"Artists, Performers, and Related Workers, n.e.c.",0.270968673307348,,,0.4552596159314514,0.5369536277702993
25,125,Interior Designer,0.60354791022712,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1025,Interior Designers,27-1025.00,Interior Designers,185.0,Designers,0.429478850873394,,,0.4552596159314514,0.5777100526886217
26,126,Interpreter and/or Translator,0.5847332347802715,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3091,Interpreters and Translators,27-3091.00,Interpreters and Translators,194.0,"Artists, Performers, and Related Workers, n.e.c.",0.270968673307348,,,0.4552596159314514,0.5324381056630557
